"anzahl","vorname","geschlecht","position"
34,"Sophie","w",2
33,"Marie","w",2
26,"Mia","w",1
26,"Noah","m",1
24,"Emilia","w",1
24,"Emma","w",1
23,"Lina","w",1
23,"Ben","m",1
23,"Liam","m",1
22,"Finn","m",1
22,"Leo","m",1
21,"Jakob","m",1
20,"Ella","w",1
20,"Felix","m",1
20,"Leon","m",1
20,"Paul","m",1
18,"Charlotte","w",1
18,"Lea","w",1
18,"Elias","m",1
18,"Emil","m",1
18,"Maria","w",2
17,"Mila","w",1
17,"Anton","m",1
17,"Luca","m",1
16,"Ida","w",1
16,"Jonathan","m",1
15,"Katharina","w",2
14,"Helena","w",1
14,"Jonas","m",1
14,"Levi","m",1
14,"Linus","m",1
14,"Milan","m",1
13,"Clara","w",1
13,"Johanna","w",1
13,"Adam","m",1
13,"Jan","m",1
13,"Julius","m",1
13,"Lio","m",1
12,"Emily","w",1
12,"Hannah","w",1
12,"Lotta","w",1
12,"Mira","w",1
12,"Nora","w",1
12,"Sophie","w",1
12,"Theo","m",1
12,"Vincent","m",1
12,"Elisabeth","w",2
11,"Lara","w",1
11,"Paula","w",1
11,"Ronja","w",1
11,"Carlo","m",1
11,"Henri","m",1
11,"Johanna","w",2
11,"Alexander","m",2
10,"Anna","w",1
10,"Lena","w",1
10,"Leni","w",1
10,"Marie","w",1
10,"Sophia","w",1
10,"Erik","m",1
10,"Henry","m",1
10,"Karl","m",1
10,"Louis","m",1
10,"Maximilian","m",2
10,"Paul","m",2
9,"Amelie","w",1
9,"Hanna","w",1
9,"Juna","w",1
9,"Leonie","w",1
9,"Lia","w",1
9,"Luisa","w",1
9,"Matilda","w",1
9,"Adrian","m",1
9,"Alexander","m",1
9,"David","m",1
9,"Malik","m",1
9,"Moritz","m",1
9,"Oliver","m",1
9,"Oskar","m",1
9,"Simon","m",1
9,"Luise","w",2
9,"Elias","m",2
8,"Josefine","w",1
8,"Maya","w",1
8,"Nele","w",1
8,"Stella","w",1
8,"Benjamin","m",1
8,"Johann","m",1
8,"Kilian","m",1
8,"Leonard","m",1
8,"Lukas","m",1
8,"Maxim","m",1
8,"Milo","m",1
8,"Anna","w",2
8,"Sophia","w",2
8,"Johann","m",2
7,"Elisa","w",1
7,"Frieda","w",1
7,"Isabella","w",1
7,"Lilly","w",1
7,"Melina","w",1
7,"Mina","w",1
7,"Sofia","w",1
7,"Theresa","w",1
7,"Aaron","m",1
7,"Amir","m",1
7,"Fynn","m",1
7,"Jona","m",1
7,"Jonah","m",1
7,"Kian","m",1
7,"Lucas","m",1
7,"Maximilian","m",1
7,"David","m",2
7,"Emil","m",2
7,"Johannes","m",2
7,"Wilhelm","m",2
6,"Amira","w",1
6,"Carlotta","w",1
6,"Finja","w",1
6,"Jana","w",1
6,"Katharina","w",1
6,"Lilli","w",1
6,"Luise","w",1
6,"Luna","w",1
6,"Maria","w",1
6,"Marla","w",1
6,"Mona","w",1
6,"Paulina","w",1
6,"Romy","w",1
6,"Sara","w",1
6,"Carl","m",1
6,"Emilian","m",1
6,"Enno","m",1
6,"Frederik","m",1
6,"Gabriel","m",1
6,"Hannes","m",1
6,"Malte","m",1
6,"Matteo","m",1
6,"Miran","m",1
6,"Mohammad","m",1
6,"Mohammed","m",1
6,"Nick","m",1
6,"Niklas","m",1
6,"Philipp","m",1
6,"Thilo","m",1
6,"Tobias","m",1
6,"Toni","m",1
6,"Valentin","m",1
6,"Alexandra","w",2
6,"Elisa","w",2
6,"Emilia","w",2
6,"Ali","m",2
6,"Anton","m",2
6,"Jakob","m",2
6,"Leon","m",2
6,"Levi","m",2
6,"Noah","m",2
6,"Valentin","m",2
5,"Ada","w",1
5,"Alina","w",1
5,"Anouk","w",1
5,"Ava","w",1
5,"Eleni","w",1
5,"Elina","w",1
5,"Laura","w",1
5,"Leona","w",1
5,"Lisa","w",1
5,"Liv","w",1
5,"Lucy","w",1
5,"Marleen","w",1
5,"Mathilda","w",1
5,"Merle","w",1
5,"Milana","w",1
5,"Nila","w",1
5,"Nina","w",1
5,"Thea","w",1
5,"Zoe","w",1
5,"Ali","m",1
5,"Emilio","m",1
5,"Fritz","m",1
5,"Hamza","m",1
5,"Ilias","m",1
5,"Lars","m",1
5,"Lino","m",1
5,"Luan","m",1
5,"Mateo","m",1
5,"Mats","m",1
5,"Nils","m",1
5,"Rayan","m",1
5,"Samuel","m",1
5,"Till","m",1
5,"Charlotte","w",2
5,"Josefine","w",2
5,"Lina","w",2
5,"Luisa","w",2
5,"Rose","w",2
5,"Andreas","m",2
5,"Felix","m",2
5,"Friedrich","m",2
5,"Henri","m",2
5,"Jonathan","m",2
5,"Josef","m",2
5,"Julian","m",2
5,"Karl","m",2
5,"Leander","m",2
5,"Martin","m",2
5,"Matteo","m",2
5,"Peter","m",2
5,"Theodor","m",2
5,"Vincent","m",2
4,"Aliya","w",1
4,"Antonia","w",1
4,"Carla","w",1
4,"Jule","w",1
4,"Klara","w",1
4,"Layan","w",1
4,"Lilith","w",1
4,"Louisa","w",1
4,"Maja","w",1
4,"Malak","w",1
4,"Marlene","w",1
4,"Miriam","w",1
4,"Nisa","w",1
4,"Olivia","w",1
4,"Victoria","w",1
4,"Alparslan","m",1
4,"Arthur","m",1
4,"Bennet","m",1
4,"Bilal","m",1
4,"Daniel","m",1
4,"Dean","m",1
4,"Fiete","m",1
4,"John","m",1
4,"Karlo","m",1
4,"Lasse","m",1
4,"Lian","m",1
4,"Lias","m",1
4,"Luis","m",1
4,"Marlon","m",1
4,"Marten","m",1
4,"Max","m",1
4,"Mika","m",1
4,"Phil","m",1
4,"Ruben","m",1
4,"Theodor","m",1
4,"Tom","m",1
4,"Lou","w",2
4,"Louise","w",2
4,"Luna","w",2
4,"Magdalena","w",2
4,"Marlene","w",2
4,"Valentina","w",2
4,"Alexandru","m",2
4,"Can","m",2
4,"Christian","m",2
4,"Gabriel","m",2
4,"Henry","m",2
4,"Joseph","m",2
4,"Louis","m",2
4,"Oliver","m",2
3,"Alba","w",1
3,"Alma","w",1
3,"Amalia","w",1
3,"Amelia","w",1
3,"Amilia","w",1
3,"Amina","w",1
3,"Anastasia","w",1
3,"Camille","w",1
3,"Carlie","w",1
3,"Dalia","w",1
3,"Daria","w",1
3,"Edda","w",1
3,"Elif","w",1
3,"Elin","w",1
3,"Elisabeth","w",1
3,"Ellie","w",1
3,"Emilie","w",1
3,"Enola","w",1
3,"Eva","w",1
3,"Fiona","w",1
3,"Frida","w",1
3,"Isabell","w",1
3,"Julia","w",1
3,"Leah","w",1
3,"Lene","w",1
3,"Lilia","w",1
3,"Linda","w",1
3,"Liya","w",1
3,"Liz","w",1
3,"Lynn","w",1
3,"Malou","w",1
3,"Mara","w",1
3,"Mariana","w",1
3,"Mariella","w",1
3,"Martha","w",1
3,"Melek","w",1
3,"Nika","w",1
3,"Pia","w",1
3,"Runa","w",1
3,"Samira","w",1
3,"Talia","w",1
3,"Tilda","w",1
3,"Valerie","w",1
3,"Viktoria","w",1
3,"Yuna","w",1
3,"Zeynep","w",1
3,"Alex","m",1
3,"Alvaro","m",1
3,"Andreas","m",1
3,"Ayan","m",1
3,"Benedikt","m",1
3,"Benno","m",1
3,"Can","m",1
3,"Christian","m",1
3,"Dion","m",1
3,"Eliah","m",1
3,"Elian","m",1
3,"Elyas","m",1
3,"Emad","m",1
3,"Emir","m",1
3,"Ezra","m",1
3,"Ferdinand","m",1
3,"Florian","m",1
3,"Frederick","m",1
3,"Ilay","m",1
3,"Ivan","m",1
3,"Jack","m",1
3,"Janis","m",1
3,"Jano","m",1
3,"Jonte","m",1
3,"Joris","m",1
3,"Josef","m",1
3,"Joshua","m",1
3,"Julian","m",1
3,"Justus","m",1
3,"Kai","m",1
3,"Konrad","m",1
3,"Konstantin","m",1
3,"Lennard","m",1
3,"Lennox","m",1
3,"Leopold","m",1
3,"Levin","m",1
3,"Lewis","m",1
3,"Mathis","m",1
3,"Matthias","m",1
3,"Matti","m",1
3,"Muhammed","m",1
3,"Neo","m",1
3,"Nico","m",1
3,"Noel","m",1
3,"Robin","m",1
3,"Tamo","m",1
3,"Tilo","m",1
3,"Tim","m",1
3,"Younes","m",1
3,"Zayn","m",1
3,"Agnes","w",2
3,"Amalia","w",2
3,"Aurelia","w",2
3,"Eva","w",2
3,"Helena","w",2
3,"Helene","w",2
3,"Isabelle","w",2
3,"May","w",2
3,"Mia","w",2
3,"Nur","w",2
3,"Sara","w",2
3,"Sofie","w",2
3,"Theresa","w",2
3,"Finn","m",2
3,"Georg","m",2
3,"Han","m",2
3,"Hubert","m",2
3,"Ibrahim","m",2
3,"Joel","m",2
3,"Julius","m",2
3,"Klaus","m",2
3,"Luca","m",2
3,"Lukas","m",2
3,"Mattis","m",2
3,"Michael","m",2
3,"Oscar","m",2
3,"Simon","m",2
3,"Theo","m",2
3,"Willem","m",2
3,"Yusuf","m",2
3,"Maria","w",3
3,"Johannes","m",3
2,"Aischa","w",1
2,"Alea","w",1
2,"Alexandra","w",1
2,"Alisa","w",1
2,"Aliyah","w",1
2,"Alva","w",1
2,"Alya","w",1
2,"Amy","w",1
2,"Annabelle","w",1
2,"Aurelia","w",1
2,"Azra","w",1
2,"Beatrice","w",1
2,"Cara","w",1
2,"Celina","w",1
2,"Cleo","w",1
2,"Dua","w",1
2,"Ecrin","w",1
2,"Elda","w",1
2,"Elena","w",1
2,"Elizan","w",1
2,"Elli","w",1
2,"Elsa","w",1
2,"Emelie","w",1
2,"Esila","w",1
2,"Evelyn","w",1
2,"Felia","w",1
2,"Felipa","w",1
2,"Florentine","w",1
2,"Freya","w",1
2,"Gesa","w",1
2,"Hana","w",1
2,"Hazal","w",1
2,"Helen","w",1
2,"Ilayda","w",1
2,"Isabelle","w",1
2,"Jara","w",1
2,"Jasmina","w",1
2,"Joanna","w",1
2,"Jolina","w",1
2,"Jonna","w",1
2,"Karla","w",1
2,"Kira","w",1
2,"Leana","w",1
2,"Leandra","w",1
2,"Leonora","w",1
2,"Leyla","w",1
2,"Liah","w",1
2,"Liana","w",1
2,"Lieselotte","w",1
2,"Liliana","w",1
2,"Liva","w",1
2,"Lou","w",1
2,"Lovis","w",1
2,"Luana","w",1
2,"Maila","w",1
2,"Malin","w",1
2,"Malina","w",1
2,"Marija","w",1
2,"Maryam","w",1
2,"Melissa","w",1
2,"Melody","w",1
2,"Meryem","w",1
2,"Milena","w",1
2,"Naila","w",1
2,"Nala","w",1
2,"Nela","w",1
2,"Noa","w",1
2,"Norah","w",1
2,"Philippa","w",1
2,"Rey","w",1
2,"Rosalie","w",1
2,"Salma","w",1
2,"Sarah","w",1
2,"Sena","w",1
2,"Solin","w",1
2,"Tea","w",1
2,"Tessa","w",1
2,"Yara","w",1
2,"Yasmin","w",1
2,"Yousra","w",1
2,"Zoé","w",1
2,"Zuri","w",1
2,"Ajan","m",1
2,"Alen","m",1
2,"Aram","m",1
2,"Arian","m",1
2,"Armin","m",1
2,"Aurel","m",1
2,"Ayaz","m",1
2,"Bela","m",1
2,"Chris","m",1
2,"Christiano","m",1
2,"Clemens","m",1
2,"Colin","m",1
2,"Damian","m",1
2,"Dominik","m",1
2,"Ediz","m",1
2,"Eduard","m",1
2,"Elijah","m",1
2,"Elio","m",1
2,"Emin","m",1
2,"Fabian","m",1
2,"Fridolin","m",1
2,"Friedrich","m",1
2,"Hasan","m",1
2,"Hugo","m",1
2,"Idris","m",1
2,"Ilian","m",1
2,"Ilija","m",1
2,"Ishaq","m",1
2,"Ismail","m",1
2,"Issa","m",1
2,"Issam","m",1
2,"Jacob","m",1
2,"Jad","m",1
2,"Jamie","m",1
2,"Jannes","m",1
2,"Jannik","m",1
2,"Jannis","m",1
2,"Jasper","m",1
2,"Johannes","m",1
2,"Josha","m",1
2,"Julien","m",1
2,"Kani","m",1
2,"Kerem","m",1
2,"Kjell","m",1
2,"Kroi","m",1
2,"Leander","m",1
2,"Leano","m",1
2,"Lenn","m",1
2,"Lennart","m",1
2,"Lennet","m",1
2,"Lenni","m",1
2,"Lionel","m",1
2,"Mads","m",1
2,"Magnus","m",1
2,"Martin","m",1
2,"Matheo","m",1
2,"Mattis","m",1
2,"Metehan","m",1
2,"Mick","m",1
2,"Mikail","m",1
2,"Mio","m",1
2,"Mo","m",1
2,"Mohamed","m",1
2,"Mouhamed","m",1
2,"Muhammad","m",1
2,"Nael","m",1
2,"Nelio","m",1
2,"Nima","m",1
2,"Nino","m",1
2,"Omar","m",1
2,"Oscar","m",1
2,"Otis","m",1
2,"Peter","m",1
2,"Piet","m",1
2,"Renas","m",1
2,"Rune","m",1
2,"Said","m",1
2,"Sam","m",1
2,"Samu","m",1
2,"Sebastian","m",1
2,"Seyed","m",1
2,"Tamino","m",1
2,"Tarik","m",1
2,"Ties","m",1
2,"Timo","m",1
2,"Tino","m",1
2,"Victor","m",1
2,"Vitus","m",1
2,"Wisdom","m",1
2,"Yousef","m",1
2,"Alba","w",2
2,"Alina","w",2
2,"Amaya","w",2
2,"Antonia","w",2
2,"April","w",2
2,"Carlotta","w",2
2,"Caroline","w",2
2,"Christina","w",2
2,"Elin","w",2
2,"Fatima","w",2
2,"Freya","w",2
2,"Hannah","w",2
2,"Jasmin","w",2
2,"Jolie","w",2
2,"Josephine","w",2
2,"Karlotta","w",2
2,"Karoline","w",2
2,"Laura","w",2
2,"Lea","w",2
2,"Leana","w",2
2,"Lena","w",2
2,"Leni","w",2
2,"Leonie","w",2
2,"Luana","w",2
2,"Malia","w",2
2,"Malou","w",2
2,"Marieke","w",2
2,"Marleen","w",2
2,"Mathea","w",2
2,"Mathilde","w",2
2,"Maya","w",2
2,"Mila","w",2
2,"Paulina","w",2
2,"Pauline","w",2
2,"Rim","w",2
2,"Rosa","w",2
2,"Ruby","w",2
2,"Ruth","w",2
2,"Sarah","w",2
2,"Sofia","w",2
2,"Sultanovna","w",2
2,"Thea","w",2
2,"Viktoria","w",2
2,"Viola","w",2
2,"Abbas","m",2
2,"Aiden","m",2
2,"Albert","m",2
2,"Andre","m",2
2,"Andrei","m",2
2,"Andrew","m",2
2,"Antonio","m",2
2,"Bao","m",2
2,"Benedikt","m",2
2,"Carl","m",2
2,"Chen","m",2
2,"Dean","m",2
2,"Dirk","m",2
2,"Eddin","m",2
2,"Emilian","m",2
2,"Emilio","m",2
2,"Enes","m",2
2,"Erich","m",2
2,"Frederik","m",2
2,"Fritz","m",2
2,"Harald","m",2
2,"Heinrich","m",2
2,"Jasper","m",2
2,"Jochen","m",2
2,"Joél","m",2
2,"Kasimir","m",2
2,"Konstantin","m",2
2,"Leo","m",2
2,"Leonard","m",2
2,"Leonas","m",2
2,"Leopold","m",2
2,"Linus","m",2
2,"Lothar","m",2
2,"Lucas","m",2
2,"Ludwig","m",2
2,"Magnus","m",2
2,"Manfred","m",2
2,"Marcel","m",2
2,"Mats","m",2
2,"Matthias","m",2
2,"Max","m",2
2,"Mika","m",2
2,"Noel","m",2
2,"Oskar","m",2
2,"Otto","m",2
2,"Parker","m",2
2,"Philipp","m",2
2,"Raphael","m",2
2,"Rayan","m",2
2,"Richard","m",2
2,"Sam","m",2
2,"Samuel","m",2
2,"Stefan","m",2
2,"Tom","m",2
2,"Wolfgang","m",2
2,"Zayn","m",2
2,"Elisabeth","w",3
2,"Emilie","w",3
2,"Johanna","w",3
2,"Luise","w",3
2,"Marie","w",3
2,"Pauline","w",3
2,"Sophie","w",3
2,"Yamahtessa","w",3
2,"Alexander","m",3
2,"Emil","m",3
2,"Felix","m",3
2,"Friedrich","m",3
2,"Leo","m",3
2,"Michael","m",3
2,"Nicolas","m",3
2,"Werner","m",3
2,"Wilhelm","m",3
1,"Aaila","w",1
1,"Aalia","w",1
1,"Aaliyah","w",1
1,"Aaradhya","w",1
1,"Aarvi","w",1
1,"Aarvina","w",1
1,"Adela","w",1
1,"Adelina","w",1
1,"Adiva","w",1
1,"Agamagizhdhini","w",1
1,"Agatha","w",1
1,"Agna","w",1
1,"Agnes","w",1
1,"Ahsen","w",1
1,"Aida","w",1
1,"Aiza","w",1
1,"Ajlin","w",1
1,"Alena","w",1
1,"Alexis","w",1
1,"Aliana-Finnia","w",1
1,"Alice","w",1
1,"Alix","w",1
1,"Aliyah-Mira","w",1
1,"Allegra","w",1
1,"Alwina","w",1
1,"Alycia-Thea","w",1
1,"Amalija","w",1
1,"Amanda","w",1
1,"Amaris","w",1
1,"Amaya","w",1
1,"Amna","w",1
1,"Amra","w",1
1,"Amélie","w",1
1,"Ana","w",1
1,"Anaika","w",1
1,"Anais","w",1
1,"Anastazja","w",1
1,"Andia","w",1
1,"Aneliya","w",1
1,"Angel","w",1
1,"Angelina","w",1
1,"Angle","w",1
1,"Anica","w",1
1,"Anika","w",1
1,"Annamaria","w",1
1,"Anne","w",1
1,"Annemarie","w",1
1,"Anni","w",1
1,"Annika","w",1
1,"Anny","w",1
1,"April","w",1
1,"Arabella","w",1
1,"Arijana","w",1
1,"Arsema","w",1
1,"Arwa","w",1
1,"Arya","w",1
1,"Aseel","w",1
1,"Asel","w",1
1,"Asena","w",1
1,"Ashley-Savannah","w",1
1,"Asia","w",1
1,"Asil","w",1
1,"Asra","w",1
1,"Assiya","w",1
1,"Asya","w",1
1,"Ata","w",1
1,"Athina","w",1
1,"Athéna","w",1
1,"Aurora-Maria","w",1
1,"Aurora","w",1
1,"Avielle","w",1
1,"Avni","w",1
1,"Ayah","w",1
1,"Ayda","w",1
1,"Ayla","w",1
1,"Aylin","w",1
1,"Ayra","w",1
1,"Aysun","w",1
1,"Ayzel","w",1
1,"Ayşe","w",1
1,"Azize","w",1
1,"Baria","w",1
1,"Bea","w",1
1,"Beatriz","w",1
1,"Belen","w",1
1,"Bella","w",1
1,"Berin","w",1
1,"Berya","w",1
1,"Betül","w",1
1,"Bhgte","w",1
1,"Bilsan","w",1
1,"Blean","w",1
1,"Bora","w",1
1,"Caja","w",1
1,"Canan","w",1
1,"Carolin","w",1
1,"Carolina","w",1
1,"Catalina","w",1
1,"Celia","w",1
1,"Celin","w",1
1,"Celya","w",1
1,"Chams","w",1
1,"Chana","w",1
1,"Charly","w",1
1,"Chayenne","w",1
1,"Chidera","w",1
1,"Chloe","w",1
1,"Chloé","w",1
1,"Christabel","w",1
1,"Christiana","w",1
1,"Christina","w",1
1,"Claire","w",1
1,"Clarissa","w",1
1,"Clea","w",1
1,"Constanze","w",1
1,"Cornelia","w",1
1,"Cäcilia","w",1
1,"Céline","w",1
1,"Dalina","w",1
1,"Daniela","w",1
1,"Danijela","w",1
1,"Darina","w",1
1,"Dayana","w",1
1,"Dela","w",1
1,"Delsa","w",1
1,"Demi-Eline","w",1
1,"Diana","w",1
1,"Dijana","w",1
1,"Dijara","w",1
1,"Dilan","w",1
1,"Dilara","w",1
1,"Dilay","w",1
1,"Dilyana","w",1
1,"Dinna","w",1
1,"Diylan","w",1
1,"Duope","w",1
1,"Dyazambi","w",1
1,"Dylana","w",1
1,"Dünya","w",1
1,"Džejla","w",1
1,"Edanur","w",1
1,"Edelawit","w",1
1,"Ekatarina","w",1
1,"Ela","w",1
1,"Elaf","w",1
1,"Elaine","w",1
1,"Elea","w",1
1,"Eleanor","w",1
1,"Eleonora","w",1
1,"Eleonore","w",1
1,"Eleyna","w",1
1,"Elia","w",1
1,"Eliaa","w",1
1,"Eliana","w",1
1,"Elida","w",1
1,"Elikya","w",1
1,"Eline","w",1
1,"Elise","w",1
1,"Eliska","w",1
1,"Elissa","w",1
1,"Eliz","w",1
1,"Eliza","w",1
1,"Ellen","w",1
1,"Ellena","w",1
1,"Elodie","w",1
1,"Elyssia","w",1
